Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
1,664.7,81.3,624.48,645.42,83.36,619.62
2,605.94,81.3,577.48,601.4,83.36,582.98
3,589.34,75.62,536.5,586.7,78.76,553.36
4,556.88,75.62,507.72,549.96,78.76,505.26
5,512.0,69.26,474.76,513.22,74.7,468.98
6,487.1,69.26,439.74,493.82,74.7,435.62
7,462.56,64.66,407.74,457.24,71.4,402.2
8,430.82,64.66,384.36,428.16,71.4,385.58
9,403.04,58.8,351.72,404.14,69.46,354.4
10,381.52,58.8,340.92,377.74,69.46,342.12
11,357.62,52.94,320.98,361.84,68.8,319.26
12,337.6,52.94,297.94,343.86,68.8,297.6
13,318.36,46.54,280.48,328.18,67.62,279.14
14,298.82,46.54,264.28,306.8,67.62,265.8
15,283.2,40.78,246.54,286.22,65.5,248.28
16,268.74,40.78,232.5,277.12,65.5,227.52
17,254.26,36.74,218.84,263.22,65.36,216.62
18,235.24,36.74,207.0,245.78,65.36,210.5
19,221.34,34.26,195.58,229.0,64.02,202.56
20,209.44,34.26,186.28,218.0,64.02,192.14
21,196.74,32.26,176.32,207.26,61.7,183.92
22,187.0,32.26,168.56,196.8,61.7,175.78
23,178.96,29.54,159.76,191.7,60.96,165.46
24,164.18,29.54,153.38,181.16,60.96,154.12
25,158.5,26.92,148.22,174.22,59.66,144.38
26,148.5,26.92,141.6,162.3,59.66,136.82
27,140.74,24.32,135.74,153.88,57.72,132.92
28,133.0,24.32,131.38,147.16,57.72,127.84
29,125.08,22.54,125.2,138.56,57.08,123.76
30,118.96,22.54,116.28,133.4,57.08,116.98
31,112.62,19.16,111.84,126.74,55.08,108.74
32,105.94,19.16,108.0,118.48,55.08,102.06
33,102.1,17.16,103.2,111.52,53.92,100.14
34,95.58,17.16,96.46,106.58,53.92,96.38
35,91.76,15.36,93.64,103.12,53.18,92.76
36,87.52,15.26,88.62,98.66,53.18,88.3
37,84.0,13.38,86.1,94.14,50.48,85.72
38,81.12,13.38,83.0,88.68,50.48,83.2
39,77.88,11.94,79.8,84.7,48.18,79.88
40,73.3,11.94,74.16,81.52,48.18,74.66
41,71.34,10.7,71.58,77.88,46.34,72.14
42,69.56,10.7,68.44,74.38,46.34,68.78
43,66.54,9.24,65.58,70.22,45.36,65.94
44,64.0,9.24,62.76,67.8,45.36,62.76
45,61.32,7.94,61.04,65.84,44.06,60.64
46,59.0,7.92,58.18,63.42,44.06,58.24
47,56.26,7.18,56.06,60.58,42.86,55.84
48,53.62,7.16,54.16,58.48,42.86,52.5
49,51.0,6.12,52.86,56.08,41.74,50.64
50,49.58,6.08,50.34,53.9,41.74,48.82
51,47.62,4.7,46.98,52.02,40.8,46.8
52,46.0,4.5,46.14,50.18,40.8,44.64
53,43.76,3.58,44.54,47.88,38.7,42.06
54,42.2,3.54,42.5,47.16,38.7,41.36
