Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
1,1000.0,114344819.24629559,490298818.0978787,1000.0,116912622.7791644,495982757.0584359
2,1000.0,3788657.9757795865,474773637.6309515,1000.0,3783896.822182443,468846259.32858306
3,1000.0,229261.29256554903,446635793.21294916,1000.0,97490.40509691567,437457156.9178859
4,977.9945909626904,178804.880153488,421945283.8484399,1000.0,94695.25122560855,403592959.55251086
5,735.0005569904381,8502.06543710388,372215872.70010984,833.5860065761009,27220.73685987889,367668807.9494141
6,541.5495076440769,961.4062411507458,346659672.959449,648.7912183907664,2832.840892749172,334281146.62380624
7,297.5088106857959,295.89375592624293,303610159.47149944,388.9248599300577,2764.0762974608674,310971781.1738597
8,150.65908016272303,153.8430276247582,290250549.6682434,146.27223048099665,717.148607815857,283277308.2237012
9,96.66799083594725,143.20362141481903,254767599.71471396,64.73210564654441,716.700049785144,242441013.66036928
10,60.857492438439095,46.32332560370471,215390605.83686465,53.734764377198104,136.67884603949307,220917901.47772664
11,54.96582405493171,46.15391219649734,195282407.8574625,50.4022328193759,136.67884603949307,207697946.9561735
12,28.258231858637416,27.53927636241605,177639184.0575469,28.693910568396984,96.46159036139696,196673915.80943996
13,20.60858566028665,27.209187981052114,155105589.32227117,22.18757637153169,96.45761923919747,167800731.08036193
14,19.73131131204043,15.73213958932406,139188877.27720904,20.296367118106367,20.053703579465033,154025121.6324502
15,18.296348366404004,15.470731357032978,124133479.48801339,18.955489760467614,20.053703579465033,142100145.89537564
16,17.524320742092712,14.361749747186618,107398907.6442503,18.544665223784822,15.803644379629784,129369150.46591227
17,15.964027962940643,14.256846916795757,98371185.68625902,13.871864763665908,15.803644379629784,113851936.20348576
18,15.197141773795346,13.347714565637851,91941618.65061104,12.83726925571101,14.735510394431044,99060718.2325117
19,14.916134853628389,13.044063804798483,84339181.7427522,12.196248683798215,14.735510394431044,89845255.95899086
20,13.703487826278188,11.944934858662839,75649936.65205453,11.52169231551123,14.404030994407172,83765923.80092621
21,13.250832858006502,11.478226680804969,68000334.87820047,10.96368849495589,14.291588314359712,73938540.98340622
22,12.807586487890516,10.424161850949362,59413291.490053505,10.61877859134507,13.533181797253299,68351714.5140662
23,12.197543033559509,10.225733102725304,53618073.12110777,10.20457360189225,13.42349787784867,61206905.59207096
24,11.477074211698493,9.152048965075188,49030495.23670105,9.795316804702829,12.601356422768049,57605838.30863998
25,11.208675860169922,9.080774076056562,45596168.39503309,9.446030318290276,12.601356422768049,51712364.17652633
26,10.522998839249041,8.061343146347967,39883754.60721895,9.079744903094094,12.036172719927787,48138439.291961215
27,10.234883861597671,7.882837356325976,37941562.39870554,8.898445818600017,12.036172719927787,44415450.0380374
28,9.941432460974838,7.302338775515658,35015975.93438027,8.570930049205538,11.637444073861849,40407168.64899708
29,9.773189491013806,7.197936550723759,33735354.491143286,8.291222729258308,11.637444073861849,35694587.88588284
30,9.397126442673786,6.336406975951323,31839478.435718864,7.858084212932639,11.287232770179846,33700619.02426013
31,9.067866630507007,6.148740244039995,30693499.05566154,7.5393743053803846,11.287232770179846,32185139.261686586
32,8.793380341607396,5.220964605248096,28625358.975591917,7.214926035756041,10.9132961350053,29504076.95117882
33,8.45330084252595,5.125142691695417,26884977.575894188,6.969653666671868,10.9132961350053,26277242.228351895
34,8.257219984232442,4.085456689655213,24811290.40019945,6.669943039437236,10.391923431410037,24626178.576104097
35,8.011311038559535,4.007521318062524,22233516.606217045,6.453963167820593,10.28208012273246,23603998.872601166
36,7.705210745218482,3.4445253799345337,21404794.469223477,6.206701185005472,9.786423908408432,22455293.222909264
37,7.356615431837258,3.3198204408231544,18934919.113433614,6.076668566238621,9.770440659644382,21269694.541035287
38,7.151908500293762,2.714638536624716,17931768.95391842,5.891816152806034,9.583311488790857,19595377.190499477
39,6.9713789171543965,2.6629265335596553,16904599.67257028,5.716880463062588,9.570982281794306,18533195.678773988
40,6.719912475629985,2.276803984461969,15235554.92554674,5.5638443370281125,9.193364552697437,17703348.152910527
41,6.612638238123875,2.254459710325149,14026219.813494273,5.393623944008198,9.187522467374873,16623575.657238672
42,6.414313679554464,1.9448528224288193,12540239.79079498,5.242814153535819,9.015922663861458,15359340.614374213
43,6.271399393426799,1.9136168839365988,11880210.960668016,5.093096085115498,9.015922663861458,13803188.979816545
44,6.092867037631585,1.6094440976018214,11154455.947806554,4.904838108670198,8.717191810779068,12649228.310395941
45,5.907463960797034,1.5841007421384958,10671106.380040001,4.734950294520274,8.663165790309641,11665048.920949047
46,5.715031554480765,1.3414573974508457,10050282.429957226,4.583257572646556,8.392145324511187,10914844.51483276
47,5.467504803176545,1.332819723166587,8725425.4249495,4.503786669004233,8.392145324511187,10481088.714656752
48,5.291184214119729,1.140177046545645,8037610.933073426,4.393284846309579,8.28718675938851,9703468.82010144
49,5.105323674220924,1.1209819849972227,7647181.437029928,4.348108348686077,8.28718675938851,8701869.586387789
50,4.950393623541568,1.0201004824710143,7201430.6555320565,4.278410713253923,8.082321426721698,7673672.459188478
51,4.826921909669759,0.9880057673432795,6468476.573266191,4.075634622294802,8.082321426721698,7123510.202551558
52,4.733813615616074,0.8611982007072484,6130131.297380304,3.9258820947564526,7.934720380594924,6512553.266506067
53,4.55249162579749,0.8595726312085097,5636104.522858708,3.818634053120385,7.934720380594924,6051164.511976604
54,4.3965714945207575,0.8076862315337517,5209189.863224805,3.7244589292565764,7.789898275159637,5686014.206417579
55,4.269153187054232,0.7967388853445145,4886708.761777275,3.6482629298662577,7.789898275159637,5306633.956621628
56,4.162503344545761,0.7377471934851549,4380484.740822046,3.5283496318364276,7.691849794758295,5119017.470680297
57,4.067814674285461,0.7373961146391356,4189192.9292445667,3.435347890532085,7.691849794758295,4959940.850854588
58,3.9801513937948805,0.6705332788298078,3720986.2507779286,3.3556305756471136,7.284020226972385,4605212.226892241
59,3.9054637361962876,0.6691470282551597,3628264.004113572,3.2459389583422027,7.284020226972385,4010071.02620659
60,3.7962184308203035,0.6340479494950347,3202195.22489605,3.169922314942981,7.141950278589877,3604682.4853694015
61,3.646754984131498,0.6270408128529308,2896880.6863669283,3.0698506520937507,7.141950278589877,3287857.527123439
62,3.570756572944175,0.5904990671589928,2678176.839203449,2.9275781105469423,7.075128479966343,2957273.412559688
63,3.517815684174489,0.582776270206866,2520667.752986799,2.8652251129948256,7.075128479966343,2736516.153363773
64,3.458205933841051,0.5310880285653753,2265812.6456021387,2.7658974827093363,6.865671126914135,2332149.085089058
65,3.3576317869797636,0.5281110363318426,2102782.2728610546,2.7046404988789408,6.865671126914135,2132543.5983656887
66,3.275888770635893,0.4989070128602039,2007485.5537977868,2.640772993143747,6.64435067831138,2068674.3050339008
67,3.187486965614249,0.49554024034598854,1844113.5201597274,2.5408909141951055,6.64435067831138,1999881.5463724667
68,3.0988271235181224,0.4690176710778629,1735683.0069454962,2.479231781889057,6.481699445580308,1881772.1484606883
69,2.979604648950507,0.46650820026199374,1592202.9894795201,2.3995303437117466,6.481699445580308,1782943.283594313
70,2.922202535601973,0.4428355636940208,1427121.8593457213,2.3272832487112596,6.227362719528004,1637689.3464297375
71,2.8587587444067952,0.44080543593944305,1334517.5492375172,2.2695772212812284,6.212382181997255,1354523.348547415
72,2.8031098692351906,0.42777392216568344,1224271.2443318523,2.217950711261307,6.096135146552476,1172541.2320105804
73,2.7515508262715134,0.4246997688554975,1108290.2559315073,2.142818895536475,6.096135146552476,1105845.8560493086
