Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
1,-2276.7595337151433,-2218.9792416059618,-2723.5557875418926,-2420.589928446405,-2404.787267684283,-2670.2346155184096
2,-2451.4389032456415,-2359.318076722523,-2905.266125071295,-2547.832497646676,-2494.4294040182576,-2868.0209341426553
3,-2660.6370204183813,-2507.740213028673,-3002.2803260674427,-2669.747336905498,-2548.8621354038532,-2911.343700580692
4,-2754.7398012605117,-2602.2984239229645,-3099.1456087296783,-2881.2370181427355,-2611.900287990488,-3009.77060860447
5,-2917.348365436861,-2627.546373739346,-3221.8178175947332,-3021.0908762509816,-2621.387811256508,-3094.701497866104
6,-3118.2122865210167,-2635.6618707870985,-3301.5521211351147,-3245.0748533089277,-2636.58190408914,-3218.497222575442
7,-3306.6874088572695,-2635.6618707870985,-3323.8199864914695,-3411.546585833758,-2656.7084083973546,-3276.672532622098
8,-3477.599976027983,-2643.5827440350827,-3404.628003260483,-3579.256542088051,-2669.0195598879404,-3331.57719579685
9,-3587.9854188877443,-2647.7341443948353,-3433.0680830186093,-3813.017797751438,-2675.244306797491,-3406.1202026730425
10,-3790.2254583168005,-2647.7341443948353,-3475.8860254494875,-3976.571826695015,-2675.5792547524247,-3431.690880192204
11,-3955.1481166877747,-2648.9201469104864,-3503.0726764294855,-4183.565109049556,-2675.5792547524247,-3481.1437007316144
12,-4149.410994353449,-2648.9201469104864,-3563.9502923341724,-4323.335570930068,-2675.5792547524247,-3506.1861519916088
13,-4277.105403299646,-2648.9201469104864,-3590.689791442116,-4523.237548769273,-2675.5792547524247,-3535.9055452314537
14,-4412.469925854423,-2648.9201469104864,-3643.4613979711735,-4696.496744573586,-2675.5792547524247,-3585.8677649208166
15,-4564.489750253946,-2648.9201469104864,-3659.9503377579426,-4926.007560955332,-2675.5792547524247,-3602.8595664197574
16,-4717.632634293114,-2648.9201469104864,-3694.496920718129,-5040.978322559286,-2675.5792547524247,-3617.394580850588
17,-4899.588609760765,-2648.9201469104864,-3716.601041087525,-5185.796171496151,-2675.5792547524247,-3654.5154325798458
18,-5024.048034414809,-2648.9201469104864,-3724.9542599332526,-5306.5812006393235,-2675.5792547524247,-3735.3967101525086
19,-5146.595785545147,-2648.9201469104864,-3757.93365659813,-5411.498272616939,-2675.5792547524247,-3771.3765372883263
