Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,646.2999999999998,646.2999999999998,646.2999999999998,643.52,643.52,643.52
1,646.3,82.96,616.44,643.52,81.4,613.68
2,601.6,82.96,579.32,606.88,81.4,570.3
3,588.88,75.36,549.04,593.5,76.6,520.3
4,539.7,75.36,501.96,530.52,76.6,486.62
5,505.58,69.14,455.84,507.06,73.92,466.12
6,471.88,69.14,434.68,477.94,73.92,428.68
7,455.98,64.64,409.66,448.06,72.64,404.1
8,432.28,64.64,385.66,424.2,72.64,383.06
9,402.86,57.72,356.64,396.3,70.44,356.64
10,385.98,57.72,331.06,376.42,70.44,338.4
11,363.54,53.8,313.8,354.76,69.08,316.78
12,347.56,53.8,287.92,336.56,69.08,292.22
13,332.6,47.32,275.8,319.4,67.98,273.68
14,308.34,47.32,262.56,296.0,67.98,251.3
15,287.82,43.12,243.58,272.94,66.84,239.1
16,273.64,43.12,229.88,258.32,66.84,226.36
17,258.34,37.68,213.54,247.46,64.04,218.4
18,241.9,37.58,205.08,237.62,64.04,209.28
19,227.8,33.0,194.56,228.0,62.84,196.52
20,214.12,33.0,183.26,214.2,62.84,183.92
21,199.9,28.6,173.7,204.54,62.1,172.6
22,187.54,28.6,161.64,193.52,62.1,164.82
23,177.44,26.44,155.62,179.34,61.18,159.86
24,165.04,26.44,148.78,171.34,61.18,151.14
25,153.8,24.24,142.48,162.68,60.24,146.52
26,146.5,24.24,133.42,155.72,60.24,141.34
27,137.98,22.84,127.14,150.52,58.98,131.66
28,131.12,22.84,123.3,142.08,58.98,124.08
29,125.7,20.74,119.06,135.5,57.86,118.12
30,120.34,20.74,112.76,129.68,57.86,115.78
31,113.76,18.76,107.74,123.82,56.58,109.2
32,105.62,18.72,102.72,118.1,56.58,105.76
33,100.52,17.48,99.3,111.74,55.12,102.3
34,95.18,17.48,93.88,106.56,55.12,97.76
35,90.64,15.32,89.26,102.98,53.04,93.26
36,86.52,15.32,85.86,99.66,53.04,90.06
37,82.06,13.48,82.8,96.34,50.84,87.32
38,79.04,13.48,78.16,91.7,50.84,82.88
39,75.1,12.02,76.54,89.42,49.84,78.86
40,71.02,11.78,71.82,85.88,49.84,75.7
41,67.46,9.7,70.22,84.54,47.9,72.3
42,64.84,9.7,66.74,81.78,47.9,71.12
43,60.52,8.4,63.58,79.02,45.98,68.74
44,57.54,8.38,62.2,76.78,45.98,65.72
45,55.1,7.46,59.94,74.36,44.88,63.32
46,53.08,7.4,57.9,72.1,44.88,60.02
47,51.12,6.66,54.68,69.44,43.46,57.6
48,49.1,6.56,51.92,66.2,43.46,55.86
49,46.72,5.22,49.2,63.94,42.0,54.44
50,45.02,5.18,47.48,62.36,42.0,52.04
51,42.78,4.6,46.36,59.38,41.28,49.54
52,41.44,4.56,44.52,55.92,41.28,47.02
53,39.7,3.68,43.18,53.4,40.46,45.36
54,37.98,3.62,41.12,51.78,40.46,43.68
55,36.6,2.82,40.2,50.44,39.48,41.7
56,35.24,2.74,38.18,48.14,39.48,39.86
57,33.66,2.14,37.14,46.02,38.32,38.28
58,32.78,2.04,36.04,45.2,38.32,36.36
59,31.86,1.66,34.66,44.08,37.46,35.58
60,30.52,1.62,33.36,42.6,37.46,34.36
61,29.42,1.28,32.24,41.08,35.66,33.32
62,28.46,1.24,31.04,40.02,35.66,32.2
63,27.82,0.96,29.48,38.74,35.16,31.32
64,26.74,0.94,28.0,37.36,35.16,29.92
65,25.86,0.62,26.96,36.56,34.26,28.26
66,25.14,0.6,26.32,36.18,34.26,26.64
67,24.14,0.44,24.66,35.06,33.06,25.94
68,23.54,0.42,23.84,34.36,33.06,24.58
