Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,-2438.0918419202953,-2438.0918419202953,-2438.0918419202953,-2506.315824876462,-2506.315824876462,-2506.315824876462
1,-2438.0918419202944,-2438.0918419202944,-2643.6488126786053,-2506.315824876461,-2506.315824876461,-2755.892386923317
2,-2558.42134460193,-2558.42134460193,-2826.8100268676953,-2626.86924177606,-2626.86924177606,-2847.2443964123963
3,-2666.8256834573804,-2666.8256834573804,-2985.9569080310584,-2707.0697584971135,-2707.0697584971135,-2958.7618521224713
4,-2849.3635924016326,-2849.3635924016326,-3085.5763850548274,-2921.2406068429423,-2921.2406068429423,-3087.369979212335
5,-3060.620255665351,-3060.620255665351,-3151.48526294899,-3072.3527321545425,-3072.3527321545425,-3218.1671503113494
6,-3221.6418381043104,-3221.6418381043104,-3250.5423167127597,-3300.9222635868878,-3300.9222635868878,-3262.606944135946
7,-3326.042429307076,-3326.042429307076,-3326.1835560090894,-3504.868610335246,-3504.868610335246,-3311.0106784296236
8,-3543.67705424871,-3543.67705424871,-3402.8452511126166,-3626.2554585458565,-3626.2554585458565,-3373.6097001453395
9,-3666.8800529000287,-3666.8800529000287,-3474.2424803729505,-3751.139718543678,-3751.139718543678,-3406.7483231915476
10,-3821.9363333308133,-3821.9363333308133,-3533.390160214898,-3906.5793735040443,-3906.5793735040443,-3451.74252047767
11,-3953.0933107576543,-3953.0933107576543,-3581.230482799612,-4062.6844578536657,-4062.6844578536657,-3481.9085901825247
12,-4128.555220481421,-4128.555220481421,-3631.6274392693986,-4174.021690317432,-4174.021690317432,-3554.542465592412
13,-4305.224433143102,-4305.224433143102,-3662.280925729857,-4303.671990043976,-4303.671990043976,-3563.2655313348832
14,-4425.981983375348,-4425.981983375348,-3681.0425736330303,-4420.824521886545,-4420.824521886545,-3640.1636510584294
15,-4552.291442393227,-4552.291442393227,-3703.217371685063,-4593.834827149165,-4593.834827149165,-3699.162313068379
16,-4675.712973608287,-4675.712973608287,-3729.6386750672286,-4767.061084082645,-4767.061084082645,-3732.1720627335117
17,-4857.417374556335,-4857.417374556335,-3740.8973142285486,-4913.318128740225,-4913.318128740225,-3756.516458356004
18,-4968.752169568227,-4968.752169568227,-3744.83377766953,-5045.355942218736,-5045.355942218736,-3771.857370990811
19,-5107.552737052863,-5107.552737052863,-3771.900628197094,-5162.916763654577,-5162.916763654577,-3783.91224497999
20,-5209.063644217296,-5209.063644217296,-3789.270333004891,-5304.411790245617,-5304.411790245617,-3811.21638070641
21,-5347.2736870680865,-5347.2736870680865,-3816.6773040708276,-5454.074112031408,-5454.074112031408,-3871.3749409196116
