Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,651.54,651.54,651.54,654.4400000000002,654.4400000000002,654.4400000000002
1,651.54,651.54,623.82,654.44,654.44,607.42
2,615.84,615.84,588.32,607.68,607.68,566.18
3,598.4,598.4,541.24,584.16,584.16,533.1
4,552.6,552.6,507.9,539.92,539.92,499.12
5,513.04,513.04,460.18,498.64,498.64,474.36
6,483.94,483.94,428.44,479.6,479.6,438.0
7,456.48,456.48,405.28,445.6,445.6,406.38
8,427.18,427.18,376.58,423.46,423.46,368.94
9,407.72,407.72,353.38,397.12,397.12,347.82
10,382.32,382.32,328.14,376.54,376.54,326.76
11,361.62,361.62,311.6,357.84,357.84,306.46
12,336.9,336.9,292.18,335.2,335.2,289.32
13,312.86,312.86,277.38,312.04,312.04,267.0
14,291.54,291.54,260.06,293.58,293.58,254.74
15,274.2,274.2,246.4,274.62,274.62,241.92
16,258.44,258.44,233.22,257.08,257.08,226.16
17,241.88,241.88,216.7,241.7,241.7,213.78
18,227.5,227.5,205.8,232.86,232.86,206.24
19,215.02,215.02,193.48,219.04,219.04,194.16
20,203.82,203.82,183.5,207.58,207.58,183.66
21,191.6,191.6,173.2,190.54,190.54,171.7
22,181.58,181.58,167.02,182.18,182.18,160.5
23,172.52,172.52,161.32,172.94,172.94,152.12
24,162.66,162.66,154.84,161.7,161.7,143.7
25,152.96,152.96,148.26,154.22,154.22,139.14
26,145.2,145.2,139.16,147.52,147.52,132.92
27,137.6,137.6,134.18,139.26,139.26,122.8
28,131.72,131.72,129.62,133.98,133.98,118.56
29,124.0,124.0,120.64,127.78,127.78,113.48
30,119.24,119.24,114.64,121.66,121.66,108.62
31,113.86,113.86,110.8,115.64,115.64,106.64
32,108.18,108.18,106.66,110.08,110.08,101.96
33,104.26,104.26,99.88,105.52,105.52,98.0
34,98.8,98.8,95.9,99.44,99.44,93.7
35,95.66,95.66,92.02,94.4,94.4,90.08
36,91.18,91.18,88.42,90.56,90.56,85.26
37,86.62,86.62,85.62,86.86,86.86,81.46
38,83.98,83.98,83.36,83.4,83.4,76.76
39,81.28,81.28,79.52,80.26,80.26,73.06
40,77.84,77.84,77.52,76.96,76.96,70.54
41,74.34,74.34,75.28,73.64,73.64,67.38
42,72.08,72.08,71.84,69.92,69.92,65.0
43,68.38,68.38,69.12,67.12,67.12,62.26
44,66.7,66.7,65.28,63.96,63.96,60.42
45,64.1,64.1,63.24,61.08,61.08,58.82
46,62.66,62.66,60.98,59.62,59.62,56.22
47,60.28,60.28,58.48,57.76,57.76,53.98
48,58.02,58.02,55.76,55.14,55.14,50.68
49,56.42,56.42,53.68,52.98,52.98,48.54
50,53.88,53.88,51.02,50.74,50.74,46.82
51,52.44,52.44,49.6,48.68,48.68,45.54
52,50.68,50.68,47.7,45.06,45.06,43.18
53,49.38,49.38,44.96,43.64,43.64,41.32
54,48.2,48.2,42.62,42.52,42.52,39.98
55,47.18,47.18,41.2,40.2,40.2,37.86
56,46.02,46.02,39.9,38.94,38.94,36.68
57,45.02,45.02,37.8,37.62,37.62,35.26
58,43.64,43.64,36.42,36.18,36.18,34.18
59,42.8,42.8,34.32,34.06,34.06,32.72
60,41.94,41.94,33.38,32.7,32.7,31.6
61,41.34,41.34,32.1,32.1,32.1,30.16
62,40.66,40.66,30.86,31.22,31.22,29.08
63,39.44,39.44,29.9,30.48,30.48,28.36
64,38.56,38.56,28.6,29.22,29.22,27.7
65,37.92,37.92,27.62,27.78,27.78,25.96
66,37.16,37.16,26.54,26.52,26.52,24.42
67,36.36,36.36,25.62,24.9,24.9,23.64
68,35.84,35.84,23.66,24.26,24.26,22.62
69,35.06,35.06,23.0,23.48,23.48,21.88
70,34.28,34.28,21.86,22.82,22.82,20.84
71,33.68,33.68,21.42,22.04,22.04,20.08
72,33.18,33.18,20.0,21.34,21.34,19.54
73,32.58,32.58,19.38,20.74,20.74,18.9
74,31.82,31.82,18.54,20.22,20.22,17.68
75,31.66,31.66,17.68,19.6,19.6,17.0
76,31.36,31.36,17.58,18.76,18.76,16.68
77,30.7,30.7,17.2,18.34,18.34,16.34
78,29.62,29.62,16.52,18.0,18.0,15.9
79,28.84,28.84,15.7,17.34,17.34,15.38
80,28.2,28.2,15.32,16.86,16.86,15.12
81,27.62,27.62,14.4,16.42,16.42,14.56
82,27.22,27.22,13.44,15.7,15.7,13.88
83,26.92,26.92,13.1,15.32,15.32,13.5
84,26.56,26.56,12.66,14.8,14.8,13.2
85,26.08,26.08,12.18,14.2,14.2,12.5
86,25.78,25.78,11.86,13.9,13.9,12.08
87,25.38,25.38,11.4,13.58,13.58,11.6
88,25.02,25.02,10.96,13.1,13.1,11.12
89,24.78,24.78,10.74,12.76,12.76,10.94
90,24.36,24.36,10.24,12.38,12.38,10.64
91,24.02,24.02,10.04,11.92,11.92,10.4
92,23.72,23.72,9.78,11.7,11.7,10.02
93,23.46,23.46,9.52,11.38,11.38,9.52
94,23.12,23.12,9.12,11.24,11.24,9.22
95,22.9,22.9,8.92,11.04,11.04,8.8
96,22.68,22.68,8.42,10.66,10.66,8.54
97,22.48,22.48,8.22,10.28,10.28,8.36
98,22.2,22.2,7.9,10.08,10.08,8.02
99,21.82,21.82,7.64,9.66,9.66,7.78
100,21.56,21.56,7.38,9.48,9.48,7.6
101,21.28,21.28,7.08,9.24,9.24,7.4
102,20.94,20.94,6.88,8.94,8.94,7.06
103,20.74,20.74,6.52,8.78,8.78,6.66
104,20.56,20.56,6.24,8.6,8.6,6.28
105,20.4,20.4,5.96,8.32,8.32,6.08
106,20.2,20.2,5.74,8.12,8.12,5.94
107,20.1,20.1,5.6,7.98,7.98,5.84
108,20.0,20.0,5.44,7.74,7.74,5.68
109,19.88,19.88,5.18,7.58,7.58,5.26
110,19.64,19.64,4.92,7.5,7.5,5.06
111,19.42,19.42,4.82,7.4,7.4,4.92
112,19.34,19.34,4.66,7.3,7.3,4.7
113,19.18,19.18,4.56,7.22,7.22,4.58
114,19.12,19.12,4.34,7.06,7.06,4.42
115,19.02,19.02,4.14,6.92,6.92,4.14
116,18.84,18.84,4.0,6.84,6.84,3.94
117,18.78,18.78,3.68,6.76,6.76,3.68
118,18.7,18.7,3.48,6.68,6.68,3.5
119,18.58,18.58,3.28,6.62,6.62,3.38
120,18.5,18.5,3.14,6.54,6.54,3.16
121,18.38,18.38,3.08,6.5,6.5,2.96
122,18.28,18.28,2.9,6.36,6.36,2.78
123,18.2,18.2,2.8,6.3,6.3,2.7
124,18.02,18.02,2.56,6.2,6.2,2.54
125,17.92,17.92,2.4,6.14,6.14,2.4
126,17.9,17.9,2.26,6.0,6.0,2.24
127,17.78,17.78,2.16,5.94,5.94,2.14
128,17.7,17.7,2.08,5.78,5.78,1.98
129,17.68,17.68,1.94,5.76,5.76,1.88
130,17.6,17.6,1.82,5.68,5.68,1.78
131,17.54,17.54,1.72,5.62,5.62,1.7
132,17.46,17.46,1.7,5.6,5.6,1.58
133,17.44,17.44,1.64,5.6,5.6,1.44
134,17.42,17.42,1.58,5.54,5.54,1.28
135,17.34,17.34,1.48,5.48,5.48,1.14
136,17.3,17.3,1.34,5.46,5.46,1.04
137,17.28,17.28,1.28,5.44,5.44,0.96
138,17.26,17.26,1.02,5.4,5.4,0.92
139,17.2,17.2,0.94,5.36,5.36,0.86
140,17.16,17.16,0.86,5.3,5.3,0.8
141,17.12,17.12,0.78,5.28,5.28,0.74
142,17.08,17.08,0.74,5.28,5.28,0.7
143,16.94,16.94,0.68,5.22,5.22,0.64
144,16.9,16.9,0.6,5.18,5.18,0.56
145,16.86,16.86,0.56,5.14,5.14,0.52
146,16.84,16.84,0.52,5.12,5.12,0.42
147,16.84,16.84,0.5,5.08,5.08,0.38
148,16.8,16.8,0.46,5.08,5.08,0.32
149,16.78,16.78,0.44,5.06,5.06,0.3
150,16.74,16.74,0.44,5.04,5.04,0.26
151,16.68,16.68,0.44,5.0,5.0,0.26
152,16.68,16.68,0.36,4.98,4.98,0.24
153,16.66,16.66,0.34,4.94,4.94,0.2
154,16.64,16.64,0.3,4.86,4.86,0.18
155,16.62,16.62,0.3,4.86,4.86,0.16
