Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,513271398.6397841,513271398.6397841,513271398.6397841,519721761.7719685,519721761.7719685,519721761.7719685
1,513271398.6397841,513271398.6397841,497170904.1712401,519721761.7719686,519721761.7719686,493409787.0108439
2,487196577.95406526,487196577.95406526,470554119.2797759,497507039.7071269,497507039.7071269,464831363.9121984
3,468935552.3032638,468935552.3032638,446483770.87010765,478043116.61142296,478043116.61142296,427758892.70852524
4,446365034.1275186,446365034.1275186,389971203.259759,442295899.3838811,442295899.3838811,396217244.16399825
5,410159662.53039116,410159662.53039116,356125591.47406733,382470644.3201334,382470644.3201334,370193110.76525897
6,371795377.6970451,371795377.6970451,325728311.077955,346786565.4550689,346786565.4550689,353695888.42233026
7,331687849.5574901,331687849.5574901,308025686.57124484,310628689.359319,310628689.359319,326751355.5361951
8,285166009.8785772,285166009.8785772,272788432.3295601,280180206.3005656,280180206.3005656,290536696.9881325
9,265403506.35713255,265403506.35713255,248920087.47350684,249512275.58876267,249512275.58876267,258641152.7914634
10,246145362.6111952,246145362.6111952,230027497.15031707,225286661.38156915,225286661.38156915,222559548.6572428
11,204080345.38946584,204080345.38946584,211264805.20520875,199754773.9153523,199754773.9153523,202943330.0466935
12,183386263.64330518,183386263.64330518,180450767.00443518,168295230.38221565,168295230.38221565,183773955.56804553
13,165765148.181514,165765148.181514,159939255.5508991,148334326.9542574,148334326.9542574,157411440.430036
14,144181464.83091432,144181464.83091432,146768197.99553388,129712789.18020962,129712789.18020962,135593549.30156964
15,121120831.84133244,121120831.84133244,134112156.88656975,116117652.44834343,116117652.44834343,121598157.47149113
16,108901100.76541862,108901100.76541862,117482643.029294,108128284.22957747,108128284.22957747,110965322.11749254
17,95835605.77316141,95835605.77316141,108416023.96828836,89868107.43031254,89868107.43031254,105281474.0204314
18,82827508.87463412,82827508.87463412,95941128.66142476,77083905.97350009,77083905.97350009,96563862.00579758
19,71583652.23065177,71583652.23065177,87470087.69926015,66470281.84842715,66470281.84842715,91557286.06102186
20,63926625.68516005,63926625.68516005,80505059.51689476,59786768.03475902,59786768.03475902,82610886.51563165
21,58410522.42626734,58410522.42626734,72393277.45832346,51567170.63886371,51567170.63886371,74902920.98595521
22,51795402.29096594,51795402.29096594,65642094.2991503,43143267.73791984,43143267.73791984,65899224.20817853
23,47768783.373738006,47768783.373738006,60125560.83928255,37320457.76600455,37320457.76600455,59183044.93465932
24,44962758.14768768,44962758.14768768,53464617.69502753,34583629.55385201,34583629.55385201,55545161.213071994
25,35817916.4351603,35817916.4351603,49582803.17528686,31031959.197757795,31031959.197757795,51094046.99707551
26,33174662.47453995,33174662.47453995,45479774.13879571,28271919.679523043,28271919.679523043,46731408.33881268
27,28750592.851802327,28750592.851802327,42450371.32669041,25801009.60793981,25801009.60793981,41778485.683661096
28,25895615.97586675,25895615.97586675,38137423.166556396,22711582.083472524,22711582.083472524,37069056.803260885
29,22811612.527687687,22811612.527687687,33565894.44013782,20717044.855805203,20717044.855805203,34244732.56502397
30,20094737.95982494,20094737.95982494,29945094.47492361,17464043.534171052,17464043.534171052,31833953.781968616
31,18001152.28889287,18001152.28889287,28436188.241343986,15392720.37326448,15392720.37326448,29024503.489436727
32,16446777.199380614,16446777.199380614,27399377.5762082,14323468.611708742,14323468.611708742,27713876.30546628
33,14510072.918202186,14510072.918202186,25841161.805717126,12424161.301135832,12424161.301135832,25983902.06577947
34,13225617.024201268,13225617.024201268,22566924.838788997,10916515.31922905,10916515.31922905,24200490.407702483
35,12000520.936979083,12000520.936979083,21083152.116385758,9478235.99354851,9478235.99354851,22707776.79168599
36,10956304.605250739,10956304.605250739,20419569.96993487,8116957.904162646,8116957.904162646,21161090.603375442
37,10239594.404591622,10239594.404591622,19028003.624421228,7495335.756155277,7495335.756155277,19660895.795753773
38,9017276.548275415,9017276.548275415,17709964.679090835,6598822.8436258705,6598822.8436258705,17748888.8759342
39,8027095.177539324,8027095.177539324,15898902.091366488,5949818.772957927,5949818.772957927,16486416.548461504
40,7080769.139315932,7080769.139315932,14950875.361927176,5593842.49345522,5593842.49345522,15066424.010991193
41,6590175.440448636,6590175.440448636,13585003.992628692,5125532.169610285,5125532.169610285,14314372.363090275
42,6275239.740442901,6275239.740442901,12201265.292442052,4668583.6414080225,4668583.6414080225,13233793.342951722
43,5290478.420773209,5290478.420773209,11226385.213839507,4204836.429848451,4204836.429848451,11977644.373233652
44,4665356.739557551,4665356.739557551,10159786.14629132,3940422.416545895,3940422.416545895,11373485.40993207
45,4376538.698103592,4376538.698103592,9505704.09718059,3542691.617921669,3542691.617921669,10812986.040199762
46,4078307.670542327,4078307.670542327,8530357.186284129,3337973.8634614795,3337973.8634614795,10277640.936771391
47,3654100.8628900265,3654100.8628900265,8205135.334118116,2971004.8467403054,2971004.8467403054,9464634.279011436
48,3348569.3084209366,3348569.3084209366,7700909.848923316,2644615.667410309,2644615.667410309,8740155.66324301
49,3036639.252390268,3036639.252390268,7000013.291118486,2472812.030569129,2472812.030569129,8443073.209167562
50,2833781.1649815547,2833781.1649815547,6546667.947576115,2250283.5572411167,2250283.5572411167,7397742.874815736
51,2484185.573340399,2484185.573340399,6140912.224462875,2053676.7800425263,2053676.7800425263,7235173.9968914045
52,2256311.1937696505,2256311.1937696505,5735604.595162706,1836829.576436626,1836829.576436626,6309593.388746764
53,2076571.9292745588,2076571.9292745588,5584911.309135917,1621130.2273449558,1621130.2273449558,5828015.64834854
54,1906927.9466949436,1906927.9466949436,5312188.833943799,1401720.090392777,1401720.090392777,5288752.904017751
55,1781797.5635287694,1781797.5635287694,4848048.359666858,1271919.7009701135,1271919.7009701135,4711762.435716983
56,1644191.8001378023,1644191.8001378023,4114352.515800883,1101346.2332036747,1101346.2332036747,4418199.752454507
57,1501894.218683625,1501894.218683625,3865141.269642742,1040371.4794535397,1040371.4794535397,3820244.5987584535
58,1383377.3040984902,1383377.3040984902,3647743.723003783,949898.4890012516,949898.4890012516,3692607.0480221272
59,1329288.1121349924,1329288.1121349924,3375428.595390774,866806.2527616578,866806.2527616578,3250405.9511612384
60,1204912.491592999,1204912.491592999,2813465.343074792,803810.8686112982,803810.8686112982,2968552.625815093
61,1033531.9608312923,1033531.9608312923,2593910.6889762282,715526.4141065663,715526.4141065663,2728299.1072736653
62,979614.0851978819,979614.0851978819,2409144.899353785,670909.1013211156,670909.1013211156,2542190.1103820773
63,865630.1697474099,865630.1697474099,2187155.4485386293,557098.3317412036,557098.3317412036,2418724.822529785
64,762092.6859867311,762092.6859867311,2084454.5999160444,524828.9019976462,524828.9019976462,2258789.5540153054
65,717914.8658427554,717914.8658427554,1943486.9552479782,485848.27179148654,485848.27179148654,2112224.870739154
66,688995.2622899396,688995.2622899396,1696667.6763307094,440600.90989777516,440600.90989777516,1950306.2779975052
67,623796.5319183259,623796.5319183259,1569061.9561048457,412673.97780876816,412673.97780876816,1779791.1657555855
68,580823.5533847611,580823.5533847611,1368372.5308848906,344706.51907906146,344706.51907906146,1647907.6892982314
69,561071.8836572845,561071.8836572845,1289820.6778140734,292175.1742788977,292175.1742788977,1558390.8599193774
70,515981.079889743,515981.079889743,1231175.0040708836,274137.85680905456,274137.85680905456,1440063.9007036083
