Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,649.1799999999998,649.1799999999998,649.1799999999998,627.0999999999999,627.0999999999999,627.0999999999999
1,615.56,80.4,616.64,594.58,74.52,598.12
2,604.0,80.4,574.16,585.82,74.52,569.02
3,558.68,75.0,530.58,538.76,72.68,527.7
4,529.76,75.0,497.04,506.62,72.68,494.86
5,501.4,68.88,471.88,481.88,71.38,460.72
6,472.14,68.88,442.34,456.4,71.38,438.28
7,448.12,65.54,405.8,432.34,69.06,402.32
8,424.12,65.54,383.36,408.9,69.06,377.14
9,398.06,59.64,354.94,392.0,66.66,350.66
10,371.72,59.64,336.44,372.36,66.66,336.26
11,349.18,53.46,317.38,345.18,66.4,320.58
12,335.0,53.46,295.94,326.56,66.4,298.86
13,318.18,46.22,282.18,308.98,66.1,288.46
14,297.74,46.22,263.32,289.18,66.1,264.34
15,285.82,41.18,248.0,277.86,65.5,249.56
16,263.02,41.18,238.14,261.4,65.5,235.06
17,249.72,38.02,218.14,249.52,64.7,222.08
18,232.7,37.88,206.32,237.28,64.7,211.92
19,219.56,35.62,199.58,224.3,64.28,203.2
20,208.02,35.62,189.74,215.92,64.28,192.24
21,193.46,32.82,179.3,204.22,63.42,183.68
22,185.28,32.82,173.56,193.4,63.42,174.9
23,173.72,30.06,165.2,183.2,62.4,165.78
24,167.0,30.04,157.94,173.52,62.4,157.12
25,155.88,25.84,150.76,165.66,60.48,149.36
26,149.58,25.84,143.04,157.1,60.48,139.8
27,142.22,24.5,134.52,150.94,58.3,134.52
28,135.6,24.5,128.44,143.28,58.3,129.14
29,128.84,21.68,121.64,135.54,56.98,125.14
30,124.74,21.68,117.38,129.94,56.98,117.28
31,117.7,18.56,113.34,123.0,55.36,111.78
32,112.9,18.56,108.04,116.28,55.36,106.24
33,107.64,16.94,102.24,111.96,53.54,101.66
34,103.8,16.94,96.2,106.3,53.54,96.02
35,99.76,15.38,92.2,102.5,50.76,93.2
36,95.46,15.36,86.34,98.2,50.76,89.94
37,88.92,14.18,84.26,94.96,49.74,86.22
38,84.34,14.18,79.34,91.32,49.74,82.18
39,81.74,12.4,76.7,85.6,48.46,79.7
40,78.44,12.32,73.72,82.5,48.46,75.72
41,75.0,10.86,71.6,80.54,46.3,70.38
42,71.1,10.86,68.68,76.82,46.3,66.92
43,67.86,8.9,66.36,72.52,45.38,64.88
44,65.4,8.78,64.92,70.06,45.38,63.1
45,62.9,7.5,63.06,67.78,43.3,61.68
46,59.94,7.42,60.14,65.18,43.3,59.92
47,57.9,6.32,57.26,62.88,42.86,58.48
48,55.38,6.14,53.58,61.36,42.86,53.68
49,53.9,5.26,53.04,59.66,42.12,52.16
50,51.36,5.16,50.36,57.74,42.12,50.24
51,49.16,4.0,47.86,55.86,41.22,46.8
52,46.66,3.98,46.98,54.3,41.22,45.66
53,45.08,3.0,44.52,53.18,40.26,43.66
54,43.28,2.96,42.98,51.3,40.26,42.26
55,41.3,2.46,40.62,50.28,39.26,40.22
56,39.62,2.34,39.3,49.0,39.26,39.24
57,38.48,1.74,38.3,47.1,38.18,37.28
58,37.06,1.74,37.16,45.8,38.18,35.5
59,36.02,1.38,36.04,44.92,36.82,34.52
60,35.08,1.36,34.54,44.14,36.82,33.1
61,34.12,1.1,32.72,42.7,36.46,31.64
62,33.2,1.0,31.68,41.5,36.46,30.3
63,32.18,0.7,30.72,39.86,34.9,29.1
64,31.06,0.68,29.9,38.7,34.9,27.6
65,30.08,0.48,28.64,37.8,34.06,26.98
66,29.2,0.44,27.6,37.24,34.06,26.32
67,28.54,0.42,25.98,36.32,33.28,25.26
68,27.6,0.4,24.88,35.7,33.28,24.58
69,26.86,0.3,23.66,34.6,31.92,23.6
70,26.2,0.3,22.72,33.76,31.92,22.52
71,25.64,0.24,21.8,33.32,31.74,21.48
72,24.82,0.24,20.9,32.64,31.74,20.82
73,24.2,0.18,19.92,31.94,30.88,20.16
74,23.84,0.14,19.18,30.12,30.88,19.1
75,23.12,0.12,18.8,29.34,29.66,18.12
76,22.58,0.12,17.96,28.58,29.66,17.38
77,22.22,0.1,17.42,28.06,28.68,16.5
78,21.4,0.1,16.76,27.4,28.68,16.14
79,21.06,0.1,16.46,27.14,28.58,15.6
80,20.38,0.1,15.58,26.66,28.58,14.96
81,19.96,0.1,15.14,26.12,28.04,14.68
82,19.44,0.1,14.48,25.62,28.04,14.3
83,19.14,0.1,13.94,25.16,26.1,13.86
84,18.58,0.1,13.4,24.74,26.1,13.38
85,18.22,0.1,12.88,24.48,25.3,12.8
86,17.78,0.1,12.66,24.28,25.3,12.56
87,17.28,0.1,12.16,24.06,24.32,12.08
88,16.98,0.1,11.92,23.28,24.32,11.66
89,16.64,0.1,11.78,22.94,23.64,11.32
90,16.18,0.1,11.4,22.64,23.64,11.2
91,16.06,0.1,11.08,22.32,23.34,10.86
92,15.94,0.1,10.56,22.02,23.34,10.32
93,15.66,0.1,10.14,21.8,22.72,9.76
94,15.44,0.1,9.8,21.34,22.72,9.36
95,15.2,0.1,9.44,21.06,22.06,9.2
96,15.06,0.1,9.24,20.78,22.06,8.82
97,14.9,0.1,8.92,20.6,21.14,8.62
98,14.6,0.1,8.76,20.42,21.14,8.28
99,14.34,0.1,8.42,20.22,21.02,7.92
100,14.04,0.1,8.06,20.02,21.02,7.7
101,13.8,0.1,7.8,19.86,20.42,7.42
102,13.62,0.1,7.46,19.68,20.42,6.98
103,13.44,0.1,7.16,19.44,19.6,6.78
104,13.36,0.1,7.0,19.28,19.6,6.7
105,13.1,0.1,6.78,19.06,19.24,6.36
106,12.94,0.1,6.44,18.84,19.24,6.14
107,12.72,0.1,6.2,18.48,18.76,5.88
108,12.52,0.1,5.92,18.32,18.76,5.68
109,12.26,0.1,5.78,18.14,18.26,5.52
110,12.1,0.1,5.54,17.9,18.26,5.34
111,11.92,0.1,5.22,17.76,17.78,5.02
112,11.78,0.1,4.94,17.62,17.78,4.8
113,11.68,0.1,4.76,17.48,17.56,4.5
114,11.52,0.1,4.44,17.4,17.56,4.28
115,11.42,0.1,4.12,17.22,17.3,4.04
116,11.38,0.1,4.06,17.08,17.3,3.88
117,11.26,0.1,3.98,16.98,17.0,3.64
118,11.16,0.1,3.7,16.86,17.0,3.48
119,11.04,0.1,3.52,16.78,16.74,3.38
120,10.94,0.1,3.42,16.64,16.74,3.3
121,10.84,0.1,3.28,16.6,16.6,3.26
122,10.66,0.1,3.22,16.52,16.6,3.02
123,10.48,0.1,3.02,16.42,16.4,2.94
124,10.42,0.1,2.92,16.2,16.4,2.68
125,10.32,0.1,2.76,16.14,16.06,2.36
126,10.24,0.1,2.68,16.02,16.06,2.24
127,10.1,0.1,2.52,15.86,15.5,2.14
128,10.06,0.1,2.32,15.86,15.5,2.02
129,9.98,0.1,2.14,15.78,14.8,1.9
130,9.92,0.1,2.06,15.74,14.8,1.8
131,9.86,0.1,1.92,15.72,14.26,1.64
132,9.8,0.1,1.88,15.66,14.26,1.46
133,9.74,0.1,1.74,15.64,13.7,1.4
134,9.6,0.1,1.62,15.58,13.7,1.38
135,9.54,0.1,1.56,15.56,13.26,1.28
136,9.5,0.1,1.5,15.5,13.26,1.2
137,9.44,0.1,1.34,15.42,13.1,1.08
138,9.38,0.1,1.3,15.38,13.1,1.0
139,9.3,0.1,1.22,15.28,12.72,0.94
140,9.24,0.1,1.16,15.22,12.72,0.9
141,9.2,0.1,1.0,15.2,12.52,0.82
142,9.14,0.1,0.9,15.06,12.52,0.74
143,9.06,0.1,0.86,15.04,12.1,0.7
144,9.06,0.1,0.84,15.02,12.1,0.68
145,9.0,0.1,0.8,15.0,11.98,0.64
146,9.0,0.1,0.74,15.0,11.98,0.58
147,9.0,0.1,0.72,14.96,11.56,0.52
148,8.96,0.1,0.66,14.92,11.56,0.5
149,8.88,0.1,0.6,14.9,11.18,0.46
150,8.84,0.1,0.6,14.88,11.18,0.42
151,8.78,0.1,0.6,14.88,11.0,0.42
152,8.76,0.1,0.58,14.82,11.0,0.42
153,8.76,0.1,0.58,14.78,10.84,0.42
154,8.74,0.1,0.56,14.76,10.84,0.42
155,8.74,0.1,0.56,14.7,10.62,0.4
156,8.74,0.1,0.54,14.66,10.62,0.4
157,8.7,0.1,0.54,14.62,10.48,0.38
158,8.7,0.1,0.52,14.62,10.48,0.38
159,8.7,0.1,0.52,14.54,10.02,0.36
160,8.66,0.1,0.5,14.52,10.02,0.34
161,8.64,0.1,0.48,14.5,9.78,0.34
162,8.62,0.1,0.48,14.5,9.78,0.34
163,8.62,0.1,0.48,14.48,9.6,0.34
164,8.58,0.1,0.48,14.48,9.6,0.34
165,8.56,0.1,0.48,14.48,9.4,0.34
166,8.54,0.1,0.48,14.46,9.4,0.34
167,8.52,0.1,0.48,14.46,9.2,0.34
168,8.52,0.1,0.48,14.46,9.2,0.34
169,8.5,0.1,0.48,14.42,8.96,0.34
170,8.48,0.1,0.46,14.42,8.96,0.34
171,8.48,0.1,0.46,14.4,8.8,0.34
172,8.48,0.1,0.46,14.4,8.8,0.34
173,8.48,0.1,0.46,14.4,8.64,0.34
174,8.44,0.1,0.46,14.4,8.64,0.34
175,8.44,0.1,0.46,14.38,8.52,0.34
176,8.44,0.1,0.46,14.38,8.52,0.34
177,8.44,0.1,0.46,14.38,8.34,0.34
178,8.44,0.1,0.46,14.38,8.34,0.34
179,8.42,0.1,0.46,14.34,8.08,0.34
180,8.42,0.1,0.46,14.32,8.08,0.34
181,8.42,0.1,0.46,14.32,7.8,0.34
182,8.42,0.1,0.46,14.32,7.8,0.34
183,8.42,0.1,0.46,14.32,7.52,0.34
184,8.42,0.1,0.46,14.32,7.52,0.34
185,8.42,0.1,0.46,14.3,7.28,0.34
186,8.42,0.1,0.46,14.3,7.28,0.34
187,8.42,0.1,0.46,14.3,7.08,0.34
188,8.42,0.1,0.46,14.3,7.08,0.34
189,8.42,0.1,0.46,14.3,6.8,0.34
190,8.42,0.1,0.46,14.3,6.8,0.34
