Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
1,-2411.6968735542982,-123.1387153833867,-2628.6590443754662,-2297.7534560756453,-66.07695273239084,-2654.5194397403325
2,-2500.3708133547957,-530.4897079090581,-2850.7712133346736,-2521.5287598209497,-374.2802142381315,-2866.81547712743
3,-2626.703878556237,-782.0024512148375,-2989.9749994246217,-2614.0917227562522,-714.2424839883664,-2977.5782416174497
4,-2759.1036257343476,-840.7268121656397,-3159.5770096742385,-2787.2125222816376,-855.9778474016136,-3026.0488913723557
5,-2895.146516143062,-1037.9717761011325,-3260.150141208421,-3034.3584310292804,-996.3651255516571,-3129.3172213317202
6,-3091.745150766279,-1164.0163082553004,-3305.2493888974404,-3236.4701452512263,-1061.7862590893208,-3213.4396098587454
7,-3283.3863662329527,-1243.874077031514,-3374.050032884028,-3376.4450617609086,-1189.2502183875563,-3243.1370126741554
8,-3490.1614101628384,-1281.568521050579,-3413.6916849356057,-3587.9101772581153,-1301.6591907584736,-3272.7447303848153
9,-3696.9486336878826,-1339.4082106894107,-3491.0920618903406,-3759.0074902199344,-1340.3759984796886,-3329.318125473863
10,-3826.278750189899,-1361.6071921377934,-3515.498663467311,-3881.3455984274015,-1369.9979893088705,-3398.571973583038
11,-4000.0569562449145,-1368.9166661212835,-3536.304645143023,-4063.3786117860745,-1409.1380162033413,-3423.1159967160474
12,-4198.544259531221,-1430.5221759064534,-3544.584140494035,-4240.813098913996,-1416.4841466422536,-3448.0021478804065
13,-4353.3664430942745,-1505.4855425189637,-3552.757141826931,-4373.472159332377,-1466.9588861888008,-3477.0870642323794
14,-4536.4853274051975,-1554.4451647237477,-3589.2448763775305,-4509.44624286633,-1490.6938757659307,-3519.02941861583
15,-4714.050311958929,-1604.0970874309862,-3635.618627094815,-4659.142522193574,-1525.2958536171236,-3561.5923928958086
16,-4859.716862164842,-1649.6295756509787,-3660.8813719051027,-4797.448089833968,-1554.6592821031418,-3587.61457299455
